,X,Y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
B:C,116042,988,162690,223596,243888,194259,162726,189459,613127,546610,241149,263440,247735,81687,112010,186387,162906,279718,109036,88913,54114
B:T,159121,1171,206047,272332,322881,244288,181975,238944,722549,546664,291334,326969,289239,98285,149449,242721,200315,357985,114956,115476,55858
N:C,46882908,33068896,47221553,40607463,41834040,38573962,34776242,34871436,34322294,30173497,27908182,30267975,26805992,31779540,31614040,30224991,25483711,22960845,22535206,22801713,12759019
N:T,72519676,51796214,69207739,57315611,62928019,54836845,49063063,50453246,47422264,43189563,38553437,44198766,36002130,45279838,44866715,44639108,36646648,34243655,31576350,33009348,17640382
T:C,8337480,506394,16515235,16207380,10110442,12473671,13701111,12345176,12116419,9706276,12662257,10748562,13342823,6649059,9187967,9837566,8590922,7801519,7371858,6392733,6402185
T:T,12819498,867549,22955634,21678015,14094135,15966540,17365848,16360364,14900666,13064004,16460182,14465328,16192977,8746432,12498514,13533969,10932395,10724520,9370463,8684647,8391773
U:C,8838577,691652,15063142,18008083,11075279,13069489,14275677,13200534,14022217,12793033,10928308,11329153,11630710,10289462,7836854,9738771,7993208,7857542,9137298,6955936,5654895
U:T,13814287,1191718,20576958,24014075,15790098,16696405,18392908,18677352,17735747,15591741,14112037,15467357,14234327,13998097,10855612,13038546,10643178,10793931,11492143,9403836,7247614
