 ,X,Y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
B:AA,0.03311462653014396,0.00022879414180581098,0.041522811241507515,0.05410449374307881,0.06651657593604406,0.049337727422374605,0.033926047614455265,0.04802681680173724,0.13707362981240875,0.09520430186194535,0.05749982541144702,0.06438227244460555,0.055132072083456655,0.019446171854995063,0.030880558151290125,0.0488748183447675,0.038706115920148186,0.07160325499572674,0.020880125836777993,0.023365601731918446,0.010173358119365362
B:AG,0.028254109957994596,0.00024247133396430986,0.0386597121479516,0.051773829352532656,0.05868839540461715,0.04575750937854321,0.036585617867933025,0.045565323292815825,0.142329295359016,0.12162072799262667,0.05681613095656319,0.06205268516337195,0.057795660038657645,0.018934118058741435,0.026598829800278015,0.044721495497059345,0.038723085337510454,0.06702403634865725,0.024443452516260046,0.02148213358241752,0.0119313806124881
B:CC,0.026113564085432122,0.00024161457851775998,0.03668180319489487,0.05261092028114517,0.05298773435305734,0.04478853926978318,0.03912237211436307,0.04254597218902808,0.14634690968848293,0.13717689501715724,0.056168847594408496,0.06136748617912276,0.058892899322606926,0.018749989096815047,0.02443272909336092,0.04128730851826589,0.03742060300718564,0.06186990494167232,0.027224816695654602,0.020212760389863003,0.013756330389182645
B:GA,0.028977824210796713,0.0002948036969417995,0.03887098804062429,0.05227248826388207,0.058802131551408766,0.04603333867772784,0.03637463860687151,0.045363565366254806,0.1445003594536305,0.11603714871381113,0.056446287973215964,0.06265871558684037,0.05828407008397595,0.01887950459186928,0.026787484462465972,0.04548252124396816,0.03949507539906249,0.0669790551455313,0.023670495666730455,0.02206545331671399,0.011724049947676654
N:AA,0.0776471540791005,0.05622699164453021,0.07189875478442236,0.0587654895819598,0.06635873896614784,0.05642627676107772,0.050070005753626357,0.05222465417950916,0.047962541389288384,0.04435755559785558,0.03907624355647458,0.04594545624413184,0.03608246173169406,0.04636276223800783,0.046088700691030396,0.046572730168461834,0.03770403774364256,0.03583928233757845,0.0322608402351335,0.034164599346160826,0.017964722970166207
N:AG,0.07103176959038401,0.05009989943951154,0.0711397535825645,0.06059270915183519,0.06326873323232032,0.057647356168918924,0.0515698553304083,0.052323771948344776,0.05093087089475939,0.04509736297020927,0.04161217445154381,0.04535882766962128,0.039675060418016626,0.047559778749364956,0.047206636776110034,0.04551834899656315,0.038138547957606954,0.03454761693457807,0.03343090432712005,0.03426805570358099,0.018981965706637856
N:CC,0.06971255005496002,0.04830838554913824,0.06996600793622192,0.06139236430619655,0.06100802639350414,0.058365392515290056,0.05279503291093993,0.05205336331000113,0.05292805485695453,0.045127201941740296,0.042506747438205296,0.04485165518923245,0.04157072473140074,0.04781245690339644,0.047381594192512956,0.04464782939069909,0.038269654242916486,0.0336506124255699,0.034399437831288196,0.03377788438679963,0.019475023493032012
N:GA,0.07231800450999784,0.05247401693091586,0.07113926329906818,0.06001237431771123,0.06373493558823509,0.05730466575965623,0.05129545179166679,0.052281678183401174,0.05067058317904482,0.04497993668090659,0.04098972689237954,0.045427364166543034,0.038690895903673764,0.0472432598806952,0.0469849138164827,0.04566355454428243,0.038052386626686786,0.03470087196858732,0.03317278008898487,0.034147855274282456,0.018715480596798093
Q:AC,0.059504994122434395,0.03252904438734254,0.07239015720435005,0.0676049641367941,0.0586818604973611,0.05741197387802831,0.05648315937964927,0.055268792005886726,0.05373400291902592,0.047857249290220234,0.046243978725427896,0.04817009729604184,0.04538518201618385,0.044224642568529496,0.04452375791129748,0.045784152576332685,0.03802188977271815,0.035849966106950786,0.03496286373048313,0.03317837986828046,0.022188891606661584
Q:AT,0.06888227463024181,0.0369617711455528,0.07398878428568068,0.06589897664741605,0.061974242110317906,0.055889670881991434,0.054103774965194584,0.055782222816055334,0.05083114803970259,0.04631503696128984,0.04339086229594628,0.048579679678805804,0.0404174617213385,0.04402950369771626,0.04404153112239502,0.04687577915528514,0.037794889194470015,0.03708113911129825,0.03321188228658598,0.03316626102056308,0.020783108232152646
Q:CA,0.059476441382493396,0.032084578401739436,0.0722323868657982,0.06775908500093288,0.05830743543788196,0.05761174319776317,0.056570211081202804,0.05525315399568133,0.054465453546358594,0.0479798563604138,0.04638869211905683,0.047785430809505834,0.045707850139851285,0.04427533386094074,0.04437304629504543,0.045767225820121,0.038080266621508346,0.03569605025695555,0.03502254083185764,0.03304756772928176,0.022115650245609998
Q:CG,0.044333681642433655,0.023526092314868376,0.06756865766855455,0.06957510100582827,0.05447414090741761,0.06095671440101886,0.06185535187984022,0.0533209252979872,0.0560162889761313,0.05185633507183018,0.04896328120891458,0.050609464709123794,0.053208658491692026,0.043741297036019124,0.0449883045883055,0.04304867257648891,0.03982768988752741,0.034539351687774805,0.03907419898433981,0.03299596891284117,0.025519822751062647
Q:GC,0.053796523316606774,0.026431544092258175,0.07080346010811628,0.06939086247567812,0.05588584097256966,0.05934861838319038,0.058414978778691694,0.054741985143982826,0.056520504739396245,0.04918838441693842,0.04830692245334658,0.04755144337584169,0.04989698354775038,0.04454111693369013,0.04421786464463778,0.044845232464169764,0.038680389355244496,0.03495743939351848,0.036382816551472644,0.03285069511185194,0.023246393741047536
Q:TA,0.06874857118322728,0.035975709740135704,0.07422166629123769,0.06615416844035407,0.062128873850454014,0.055959152157996996,0.05406207509669298,0.05581595573890517,0.050147137134779,0.046116788902119926,0.0435674542254458,0.04883220061727077,0.040745862691388725,0.044144813655869336,0.04406266381941392,0.046842670923781075,0.037808694999133745,0.037234961394464625,0.033169966382374474,0.03328467755599698,0.02097593519895774
T:AA,0.049970117469510654,0.0044935573683301325,0.07684317071824194,0.07951099713787689,0.05335109139591593,0.055973242852208706,0.06105896145399751,0.06144293494743346,0.05500532123798845,0.04814095042265579,0.05267773139161661,0.05232097430982354,0.05109206637410246,0.040163922834035096,0.04157320497132168,0.046773173836920055,0.03715512652750539,0.03769906715172919,0.03562340196555291,0.03187828544149304,0.027252700191740562
T:AG,0.04160922793842704,0.0029087154636354986,0.07400974588767409,0.07950598962316698,0.04968943815751851,0.05860955196983069,0.06390693571762832,0.059830814796769584,0.060023947220195176,0.051055025166578186,0.05462184950695718,0.05102234282376381,0.056825604879060194,0.039450288473536536,0.03986447356534691,0.04571356918164405,0.03816384361677705,0.0365779084688783,0.03773654644731061,0.03104453341695838,0.027829647678342912
