 ,X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
B:AA,0.03759588416670054,0.11400126587423713,0.07934166797318824,0.06535753204849033,0.06208977642028573,0.053629807273550774,0.04371814748789774,0.056631903514833375,0.04334457909681615,0.0643340901480531,0.06784814928799413,0.041677554346458555,0.02223748110382685,0.03397585161011848,0.02617736949785053,0.03260255226570197,0.039742934621660383,0.03907757641215626,0.01261519165219815,0.02314865892818777,0.040852026269793805
B:AG,0.03251882638915501,0.1239206738661444,0.06708315510707558,0.06539237913152632,0.05885195016638478,0.04969690316125912,0.04400781744383672,0.06035267567240063,0.04531383184210172,0.06062195699163053,0.08333221132783654,0.036351424549963596,0.030002599600427952,0.03287355274237131,0.022961928799947802,0.03320911869402703,0.03633692478662045,0.03438515307089452,0.0126106513190124,0.02657133417501007,0.04360493116237353
B:CC,0.029906872771013705,0.13018600358354315,0.05972659968759532,0.06524121576389283,0.056638863618058206,0.048118375759720396,0.042267719987165796,0.0641208633777469,0.04489133836226532,0.05901952991413493,0.09383958032669132,0.03150190598546777,0.035974072787914715,0.031455692274784085,0.021644521496637623,0.03194159643282969,0.035152128933612026,0.03151114872760451,0.012623605171182186,0.029229511811564256,0.04500885322657526
B:GA,0.033477730393084174,0.12289577892522374,0.06913284317895291,0.06476411267541259,0.059958636082590715,0.050691747403328664,0.04378443025583926,0.059364458263451846,0.044463037188167735,0.060696914718978014,0.08099100734723727,0.037240221775601386,0.02903155363533987,0.03313430069206481,0.022815539527425495,0.03320857291945716,0.037173567212556956,0.03495809649803274,0.012543119154236119,0.0257553231603658,0.04391900899265276
N:AA,0.07247221355216985,0.09075832569686225,0.11127601215255618,0.06088812939461472,0.06714516332886424,0.06457471085346422,0.05617246188236635,0.05176306527150891,0.042411867211398134,0.04382693774976431,0.02955529814927755,0.035559424515817194,0.011049666525146426,0.04321504836986936,0.04457346222710938,0.04192303589304512,0.030680647811506423,0.03052955985816882,0.033819617426159784,0.019475579707232866,0.01832977242309791
N:AG,0.06559558490760872,0.09435076999437972,0.1046858537375824,0.06223196873144087,0.06619802549809728,0.06498269175065174,0.05619374554623446,0.05247926722464226,0.04464641499013265,0.04369464900102587,0.034438401838519074,0.03354467828344503,0.014361794965431083,0.042269269295083754,0.04304186315146931,0.040035672776909365,0.030570822316172957,0.03230714011276012,0.03370426249477752,0.021502712389474973,0.019164410994160847
N:CC,0.06325166232122893,0.09615266203728338,0.10051782654970319,0.06315237580537422,0.06520077915661751,0.06535317006339501,0.05591744571265003,0.05296989937899,0.045480708645759274,0.04345530793387622,0.037437351361154024,0.032424190750315336,0.016973048833169645,0.041612633569969776,0.04209536056785622,0.03893337557094562,0.030265719580255264,0.03300338735654559,0.03306326243099232,0.022637287719255276,0.02010254465466315
N:GA,0.06681342309778741,0.09387227113350025,0.10594566559838166,0.061858222434798674,0.0663381510002361,0.06483686061720673,0.05615057652118553,0.05240604271780104,0.04412937093126297,0.043692544604026745,0.03334260017115814,0.033901111521349975,0.013857430223905579,0.04260316218361047,0.04331717707098778,0.04035615943866669,0.03061883597875772,0.03208792045400644,0.03371874832897508,0.02112273584662054,0.01903099012577447
Q:AC,0.054611145157599676,0.09975668847701608,0.09405408740684869,0.06482855316033594,0.06930962797543716,0.0638208682368182,0.05389899232465544,0.051956947614748866,0.04799874545472755,0.04376227815992945,0.04202355212061118,0.032930404940411315,0.018869543579438944,0.041014430353638005,0.04010986466932039,0.038715597901054825,0.032481293797139356,0.03368520541577022,0.03233845736662136,0.022552113043804316,0.021281602844073034
Q:AT,0.06481585164745542,0.09645359333356354,0.10157445669412618,0.06338696837616081,0.0709884605282584,0.0633120231467334,0.05423812224780672,0.05109197557877368,0.04522408742853934,0.04384790962834984,0.03539544460740585,0.03492299284922337,0.014174411382473677,0.04204128968019297,0.04146355948551001,0.04027518997807375,0.03288900900384248,0.032051769026753246,0.03246891820191978,0.01987506142633439,0.019508905748503155
