 ,X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
B:AA,0.04929448173455242,0.06599428309637564,0.06092250731187384,0.11439077067702724,0.055022009993956705,0.03127467571488919,0.06772822353552156,0.05326809524092847,0.03044382925446511,0.028765136917546882,0.045928597352680935,0.0484840345734124,0.04077904923965862,0.016264616310429737,0.05164890086025545,0.05085502812978374,0.048447060843460024,0.038219787150311386,0.009311855137776017,0.03569664882011303,0.007158029121699669,0.0374169897264029,0.012685389256879027
B:AG,0.04646196385095559,0.06681204204502006,0.0574854973741749,0.10325540795877165,0.04566915187148703,0.033735608076182075,0.06431428657793183,0.04689204446322917,0.0304015552902832,0.02979116961244487,0.044210802076477984,0.052713776844905295,0.04099447789221257,0.013274164988680554,0.05421561197925643,0.04597354924688165,0.0563198781562004,0.047130153211577916,0.00857721803071868,0.04669795136323887,0.008402746364333961,0.03545168805314545,0.021219254671889856
B:CC,0.043124185626941966,0.06585531337460775,0.05530283755201065,0.09326707838284465,0.03899802879957235,0.03394923709146421,0.06135072204531962,0.043003394987959485,0.030514413921249643,0.029817940236903852,0.042809358961508906,0.05536130536130536,0.04194647689686278,0.011033710868330493,0.055834187862853796,0.041519854640031044,0.06266464149595351,0.05540692310262321,0.008128310498762538,0.05847294932190191,0.009754486601234121,0.03454034021839975,0.02734430215135838
B:GA,0.047381610478073384,0.06657679071912584,0.05756941465601486,0.1041324659659353,0.04661013942597651,0.03357511683335645,0.06515769681058645,0.04789312932783327,0.030207994014003876,0.0296790590117301,0.044911742034529134,0.052405847956988556,0.0409892374627891,0.01368716074786249,0.052819965361207775,0.046236014668270674,0.0548957127237895,0.04627665235746976,0.008770645397459177,0.046906214018712686,0.008257836462327894,0.035543142067426314,0.019516411498530915
N:AA,0.06616547717839501,0.07151062279158331,0.08457043158802911,0.06405318140383803,0.07670539878449786,0.07027675802740546,0.0614168437868861,0.050881607894294335,0.05224110051759496,0.043151502748166495,0.04122863514975575,0.04297544228591597,0.04150400886219442,0.04194820256492317,0.03097408841913341,0.024513143099592506,0.02381551497106209,0.02076096100832448,0.03145684226107452,0.01366019792376273,0.020048263983286078,0.016029590143534177,0.010112184606750046
N:AG,0.06307913761275542,0.07526439773461108,0.08425137534025497,0.06124309810342717,0.06932722696932264,0.06686791177666129,0.059130017988150714,0.05090428724052396,0.05200506765734291,0.04357114191723211,0.04333915136551193,0.044259589438096616,0.04180312540565507,0.03819943547027648,0.031096049730436153,0.02634266604498166,0.0266901845751543,0.024460443769736856,0.030286324534905564,0.016906622090944432,0.02269171231466059,0.015430065648179406,0.012850967271178673
N:CC,0.06134090263938475,0.07779564508166147,0.08405903192613413,0.05846000621172201,0.06369769595415087,0.0634853309361398,0.05748967118012194,0.051280337595842836,0.05140156840703347,0.044224758667000284,0.045192898274954915,0.04456378877286283,0.041607451798614394,0.035368703156316544,0.03114354400544248,0.027657705829938442,0.029604739002880198,0.02770055277932642,0.028477672435976636,0.019956877416379616,0.024865687871614278,0.01514024459733533,0.015485185459166372
N:GA,0.0639420809707113,0.07426120751679055,0.0837298869249391,0.061148795487952136,0.07006803950351043,0.06712652993505695,0.05911016687984662,0.05091228107666086,0.051964580515013306,0.04341950975042909,0.043122290200673485,0.04427914873251362,0.041673352982646183,0.03863005630619159,0.031042156609087983,0.02605643464847887,0.02669290640403944,0.024287370431513487,0.03073783042508676,0.016628364578876707,0.022588994332772717,0.015825533881045482,0.012752481906163335
Q:AC,0.05333566245256936,0.0790223840669628,0.08237197741597153,0.06790348200830916,0.06463733523248226,0.06220589573718107,0.058249307496866264,0.05462897546986463,0.04972039954632934,0.041842057110987096,0.04589727207001282,0.04607103744720766,0.04573899983103838,0.03358129884455074,0.03108094312155286,0.029178396634789678,0.02836327521213284,0.028559970706061432,0.027614191845250317,0.02043796005843111,0.022081831694195145,0.013866396130299892,0.01361094986695361
Q:AT,0.056360143137279474,0.07640838840322849,0.08473409865145028,0.07083045626801814,0.07215145632253378,0.06534988559392392,0.06111294614951286,0.05487653333256219,0.05124273780874923,0.04122422694812443,0.044565661404783304,0.045187044143348204,0.045700881671689994,0.03683366997719733,0.031087683668511664,0.02751989508292892,0.02435463234559357,0.023518293065843285,0.02837499530976323,0.014782671296818425,0.019493909261206758,0.013799872568364374,0.010489917588568182
