 ,X,Y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
B:C,0.04124630066388542,0.00245230490509909,0.06339414858285121,0.054899067449267154,0.0993428970131483,0.040115220369163415,0.033423388965589614,0.05383108739771729,0.0473683739894049,0.037039336590363174,0.024314345840285186,0.042626913738424525,0.04845255089481713,0.06144597075421831,0.004468307059280654,0.049971680813325016,0.0418076228805531,0.05151308140589366,0.0544079315993364,0.015379418894001209,0.05252589092397483,0.02346063666795623,0.03417569908405104,0.022337823517393142
B:T,0.04477734833498099,0.0025546200513132116,0.06185785325187636,0.05882942134829667,0.10891234507336768,0.04822385734458918,0.03304392057625737,0.05730662570406685,0.05062497406139495,0.03832794697138187,0.024083130169763513,0.04376507764555149,0.045805714261390906,0.06457276058055653,0.0053430866035485075,0.0484283067597867,0.04639791256748028,0.04376321538672731,0.04440556166258211,0.014878782912764347,0.04315399071424543,0.019966474020425253,0.035246706728287926,0.015730367269364564
N:C,0.06227529981600178,0.012169581187090009,0.07467143518138042,0.08482264537848692,0.060170065964785406,0.06860113214457549,0.06581312551306287,0.05884897055066934,0.05063154973533122,0.05230195268400847,0.044418442088273946,0.04397475742485759,0.043820743130437795,0.041885498440298014,0.03749880737097994,0.030687363782945953,0.025681230991558283,0.028327870034592605,0.02312848753031594,0.027257576826833742,0.017179462730931724,0.0214129547832946,0.012957415040735453,0.011463631668552498
N:T,0.06518482777904515,0.012659807677663672,0.07175303336678371,0.08554168639670497,0.06308834056625037,0.07564999628308629,0.06933410127838768,0.06106527811930221,0.050102575307299585,0.052718618317957655,0.04388760248759207,0.041852950160105436,0.04313907665341961,0.041865996328540496,0.040941306768053146,0.030615975697795297,0.023817396015585666,0.024823904991630154,0.019452167924995677,0.028367906529699574,0.013483795237335582,0.018703745526180145,0.01338206400351305,0.008567846583072792
T:C,0.036695012222683066,0.0009310854732970551,0.08610088619364333,0.07588187040211061,0.07276516670927305,0.05416429175190128,0.054376586679556194,0.056263913156926804,0.057614928559624,0.048130777032195905,0.04278278784590297,0.05225071234128888,0.05099239517036725,0.0497031812785657,0.023475343049019298,0.02818513218321628,0.03581676748500426,0.02724678852229021,0.04214916299379107,0.022286404307485425,0.030661876752359086,0.02057719189862964,0.012583764790695616,0.018363973200173012
T:T,0.03849892886321259,0.0010642562818067947,0.08420554417968014,0.0812986615724347,0.07617801645947225,0.061309992272669624,0.05799303268972073,0.06075273935684439,0.05874853913026917,0.04986108283801872,0.042485774355624006,0.052118363492139774,0.04944102891205246,0.050624918844993774,0.026086786282425303,0.027858873311229264,0.03479237024106892,0.022218474255106663,0.03493309851194076,0.023415161088849376,0.022056706373799573,0.017564400671091482,0.01224628374454075,0.014246966271008786
U:C,0.036561367263605545,0.0029422398670507104,0.09001501061033385,0.08130568960632192,0.07415560984713761,0.0505443780552378,0.05154212912280319,0.05180997036155302,0.05990620894508073,0.04220610979210665,0.037602385883442176,0.048422218661125865,0.04948813030675409,0.05049033896265891,0.024603703222367067,0.03349702806989304,0.032797835077089145,0.0373746745178987,0.036592635991506854,0.02392978533435529,0.030121738319897055,0.026885980733384662,0.009688948405047491,0.017515883043348623
U:T,0.0392510025346912,0.0034494835735025507,0.08780886736315255,0.08410278204110824,0.07979557806793076,0.05685385694164605,0.05412912851777607,0.05565673379424344,0.06233045879052742,0.045796895870695596,0.03552201457232618,0.048614003922567886,0.047421722841442325,0.051024889267372135,0.02702729783996395,0.03417463466755701,0.032195900961564675,0.03140156609692696,0.03046602003222234,0.02514187386071407,0.021407646804848596,0.024343960198237414,0.008912086742241233,0.013171594696741347
