 ,X,Y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Q:CA,0.052644410124253686,0.008185906133055438,0.07900998897699069,0.08297225931562437,0.06744297745106416,0.06401137892351509,0.06150949686287248,0.05777830043587636,0.05422703669665056,0.04986815504822159,0.04217908757946754,0.0464507277497104,0.04608085433516544,0.04545587470540371,0.03276616309863613,0.03080585472112785,0.02888369446340634,0.028621490587403178,0.027898594077233843,0.0259825027290578,0.0203909072575986,0.021571829358318848,0.012314181265024225,0.012948328104321678
Q:CG,0.04425741189439005,0.005803241377010885,0.08111733683652152,0.07685156347952601,0.057652689457629476,0.0523365490829182,0.05349141662911974,0.05239474696473546,0.05570045056665172,0.046484981093855286,0.043562162031069857,0.04798186328170648,0.045805070757652264,0.04535166700357997,0.028538195972898323,0.030529174271479873,0.031015103504346928,0.03898001092728258,0.04103323503844842,0.02404662619706456,0.03754548107650955,0.02548499092961689,0.013508868181868701,0.02052716344411727
Q:GC,0.04868405750317112,0.007169410157979368,0.08161287534062973,0.08093380567542081,0.06434445476195982,0.05812030288550888,0.058309905684130824,0.055079580193585456,0.05423784152985297,0.04828781734356293,0.04285563729192942,0.04741768500871576,0.04697896916375144,0.04543403195542833,0.030126414988184066,0.03091308042790296,0.030313524523946724,0.03265586296502428,0.033266958411227295,0.024831052735954113,0.026092947199089826,0.02377776399921987,0.012274292048673084,0.016281728205150916
Q:TA,0.055988713470677715,0.008417134292489234,0.07622822385687802,0.08556922491287262,0.07177733798852202,0.07373677528980188,0.06585324506336199,0.06175379272508887,0.05455718024791952,0.05133594682910999,0.04124878011610385,0.044140570237086826,0.04471126151170413,0.04582475673878229,0.037124306430711546,0.030995935541323474,0.026892935360346207,0.02276505766371074,0.021914997748052122,0.027263072307447483,0.013372692794873233,0.017656302674110794,0.012283222748869699,0.008588533450155733
T:AA,0.039566369225156134,0.0024718454759150373,0.0850622228888704,0.08429659201007343,0.07919452010961278,0.060967510621479384,0.057008566009609574,0.0594576439762549,0.06114800064618475,0.048453146861667816,0.03883280324965816,0.05094054881342881,0.04712549168697153,0.05098001514047299,0.0274646764870206,0.03154152823835929,0.03342816146381218,0.025074889239637223,0.03064237821373706,0.024671293489948835,0.018894018180435256,0.02000956267121048,0.01038404678880227,0.012384168511681096
T:AG,0.03736562030616362,0.002048775160433378,0.08826127542783915,0.07982122820758207,0.07524884594584294,0.05399101182138251,0.053920549316920224,0.055181551371000254,0.059084816616142594,0.04571346658973068,0.03985089395986993,0.05038252433017807,0.050109438879168744,0.050431375257985314,0.02446859479833337,0.031178193619314613,0.034243012722979665,0.030544342451923324,0.03728737348246859,0.023388454193923075,0.02706975678384681,0.02296889668576554,0.010816478792602498,0.016623523278603034
T:CC,0.03505435842689745,0.0017304242308966923,0.08972125775097788,0.07621546810158841,0.07074003417433493,0.04829642966785526,0.05089781648894551,0.051374637225386564,0.05754642165587427,0.04329405225942178,0.04091778945739949,0.0502843680433576,0.05158641538197986,0.049763507448583245,0.02245864649863338,0.030841990612309064,0.03483875653936103,0.03551164391536837,0.043422318346817514,0.022168340513566046,0.03599008638983588,0.0254492802027357,0.011343402848563501,0.020552553819310593
T:GA,0.038197861779650316,0.002111513882273598,0.08733335187910604,0.08024974499331396,0.07578277005448657,0.05508767079526446,0.05438287133881277,0.055829510948805706,0.05966626706350922,0.04630726438379299,0.039558133189915155,0.05042940443912022,0.04956200589117657,0.05053557575208078,0.024939621999616864,0.030918470333202913,0.03386264410890525,0.029809343447195595,0.03606281436575524,0.023673983953986663,0.026359815855454136,0.02258972190133074,0.010911834348788351,0.0158378032944559
U:AA,0.0392491264765013,0.002304345974027442,0.0850788492852449,0.08439851495575029,0.07982598002616868,0.06210353964406033,0.05723324047498978,0.06008499725886738,0.061459220057258034,0.04899998764097716,0.03817355002744168,0.04970113217470324,0.047670183341408746,0.051315962288836774,0.02758267368195029,0.03091891744027621,0.03297026862056336,0.024896146505051876,0.03037849711379825,0.024800252628670732,0.0187095876907623,0.0199340320319883,0.01033251301228209,0.011878481648420857
U:AG,0.0369344056882116,0.00198012379309979,0.08839556975827223,0.08006813217642227,0.07545271945220787,0.054176455264389384,0.05405934571893002,0.05549549655743908,0.059095044386109054,0.04578279509306879,0.03971259537620631,0.05011516459578642,0.0501408379314694,0.05039779525220103,0.02471948521307808,0.03102898446515652,0.03438745283497043,0.03041926042404618,0.03722707935748293,0.02345445458306762,0.026799048978547794,0.022971305509158355,0.010698260507737953,0.016488187082940906
U:CC,0.03574393911883743,0.0017481022636891771,0.08950787669302551,0.07600261293921028,0.07063646899826403,0.04820323078660249,0.05104570661873603,0.05132804345465334,0.0575601201665579,0.04315515372996084,0.04082978353116102,0.0498614445829882,0.051528116291475946,0.04969946321891713,0.022238459286975786,0.030763154939504014,0.034600021941182196,0.03568388485608369,0.04371552127501358,0.02223815060405235,0.036554972631863324,0.025497641631596686,0.011326795758276824,0.020531334681372238
U:GA,0.03747083055044513,0.00205280167906894,0.087787152097806,0.08048323196294066,0.07581415514714225,0.055174280145394904,0.054346136406162135,0.056144162413294445,0.05952427334407883,0.04634209895631377,0.03946764698435596,0.05023170509134226,0.049794812462481186,0.050564486777966475,0.025178553493964907,0.030874031149297786,0.034041779897959486,0.029703702335560148,0.036133626689094075,0.023694769060933898,0.026115551974096728,0.022534826078586836,0.010764844061794237,0.01576054123991894
