 ,X,Y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
B:AA,0.045715228438661555,0.002599633884894544,0.0610718157192862,0.06114888819824541,0.11243874820962714,0.051855613667741794,0.032557498152343545,0.05875755831053793,0.05222681139072914,0.03874829294874305,0.023622089889007297,0.04365801816244212,0.044277097642082076,0.06594654586145784,0.0058775055846301645,0.047994907383876774,0.04818238098134513,0.04109254613308626,0.04075759330560946,0.014720843481209729,0.039481523018841516,0.018629043076433403,0.03603992437731686,0.012599892181851056
B:AG,0.04276000158292334,0.0023723292665565813,0.06356053936571028,0.05580010350674053,0.103113065438976,0.04230362628207797,0.03386479470563536,0.055048214919874786,0.04799598307505472,0.03702858564257694,0.02439397934079466,0.043123354440691,0.047481019053154876,0.06267913886914518,0.004649066409287443,0.049923243636057144,0.043351542091113686,0.048668725494881965,0.05104002688913935,0.015078886629282952,0.048574161243355445,0.022519654203201102,0.03439671862047203,0.02027323929329668
B:CC,0.039813281298989686,0.0023767104507634858,0.06474230581488709,0.052980478514316205,0.09378784693148606,0.035692461290850096,0.03330960311517517,0.052074918634860794,0.04542492459815396,0.0359678793668827,0.024473478099959547,0.0423670462272027,0.05020478071680013,0.06011860190899154,0.00391056781616827,0.050794962308298566,0.03906510317726719,0.05547952869081739,0.0599163417594051,0.015141231684390558,0.058387402573929464,0.02492595065344168,0.03316205771730056,0.025882536649662058
B:GA,0.04360725544364436,0.002516439949671201,0.06285289821662625,0.05640623887187522,0.10358886319138064,0.04319555387293103,0.03383012406023962,0.05569278941246,0.048482076925095305,0.036906952946071464,0.024259155830606356,0.04358788860192644,0.047608694837299785,0.06339204610058014,0.004844834113629634,0.04878569902428602,0.04370908754687088,0.04716388221461709,0.050027675841551746,0.015196098643446449,0.04894313270534787,0.022065080085014187,0.03412499984381579,0.019212531721012522
N:AA,0.06591787405629106,0.012721889809707109,0.070693668562793,0.08571043856138129,0.0641173736191147,0.07800520413789613,0.07051175556947441,0.061981634311892284,0.050162141209401045,0.05275750832592866,0.04375816987096197,0.041158113927239066,0.04273564344709626,0.04189058667768868,0.04210653049142331,0.030566838855764757,0.023230607154177553,0.02360598950417693,0.018389027911149117,0.028706040346345375,0.012414406464517967,0.01774452590548641,0.01356838882308182,0.007545642457011118
N:AG,0.06268515794297964,0.01219712602170069,0.07449127726715006,0.08526006307623532,0.061320963608472064,0.07040504214785297,0.06690200840033145,0.05958356934144023,0.050387375769597585,0.05260037985085423,0.04422929637449361,0.04336071851228883,0.04393455929486872,0.04206610794418539,0.038195055939989814,0.030693791630960924,0.025234195956023147,0.02708716854099544,0.02201978552906715,0.027513943379496676,0.01587017881450934,0.02065382862962843,0.012847437384538469,0.010460968642339833
N:CC,0.06059939114922712,0.011716955793875782,0.07674706396842454,0.08426604840181817,0.058400875672224975,0.06414773039972713,0.06345155159250171,0.057374674448660644,0.05088126403974499,0.05174636643779015,0.04480994643731981,0.04521375913063338,0.04429301260393709,0.04186164185448813,0.035250750358456456,0.030829928464351508,0.026854880709230394,0.03051868548473398,0.025657234919877873,0.026381174898313674,0.0196122596790794,0.023170981205717537,0.012737737530189131,0.013476084819676427
N:GA,0.06350255491749085,0.01247472593766943,0.07357405032458138,0.08523925592555284,0.06143043729254269,0.07144142671676901,0.06740418469505563,0.05988823721029634,0.0502956793113535,0.052752576286544804,0.04410730730142632,0.04318505037711047,0.04381795211842552,0.04201068776405011,0.03869174650378012,0.030607247605998214,0.024806753066726212,0.026799925231341205,0.021348957343271788,0.027791972206998517,0.015443353150685275,0.020299842166204146,0.013040410817354001,0.010045665728771611
Q:AC,0.05305032085152424,0.008194603102090713,0.07861430924022382,0.08322711247274803,0.06798670021175615,0.06520383484814551,0.06195600228384409,0.05843669503891752,0.054354367631435925,0.05004088414937395,0.04206650455674,0.046031232270047434,0.0457257173993485,0.04554861331500151,0.033376864493885175,0.030868809110926286,0.028699507067297722,0.027830395905215022,0.027246777401704864,0.026166233900787025,0.019722264187268718,0.020949671950336056,0.012346236031144844,0.012356342580236898
Q:AT,0.056073827206956785,0.008628423956184631,0.07599407118920812,0.08519160151294376,0.07087929844735597,0.07248416844414884,0.06536235298044006,0.061101253371324826,0.05452340508449797,0.051331194164614825,0.04133836361008484,0.04469615455855106,0.044849226108146435,0.04564712491546591,0.03659129850081239,0.030790791293080925,0.026914643180629416,0.023770139228380137,0.022375115603833626,0.0272198853795963,0.014338460862037652,0.018337099714977805,0.01242040806832478,0.00914169261840294
