 ,X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Y,MT,M
B:AA,0.03625532586397349,0.12823003787281048,0.07819650465519962,0.07372376518857504,0.05685852927252643,0.04796729525011835,0.054471753195518384,0.06377228972700016,0.04399755404765662,0.0453438141076219,0.09554008205775603,0.015149124191257694,0.03215736941770554,0.044155357424648885,0.02666877071169323,0.030367287359949504,0.019597206880227237,0.022708892220293514,0.02109633896165378,0.024158710746409972,0.03958399084740413,0,0,0
B:AG,0.027932356061754326,0.13601974752614598,0.061728341597557544,0.07512721131152156,0.054955286577311996,0.048805837645887015,0.04926055041898534,0.0706233895589286,0.04680510144425438,0.03934781196544183,0.11619427061905896,0.012753610635948293,0.04179893034233376,0.03945174631357859,0.024558820345148648,0.025637139207067536,0.022588398328389235,0.019102267067968734,0.018435355000757856,0.025528874261091742,0.04334495377086807,0,0,0
B:CC,0.024215069199057714,0.14645446849234395,0.05216155035335689,0.07904059923439341,0.054604681978798586,0.0480436542991755,0.046010011778563016,0.07254858657243816,0.04641950088339222,0.03647673733804476,0.12476074793875147,0.011033200824499411,0.046907207008244994,0.035565739104829214,0.02358933303886926,0.02338688898704358,0.024228872202591283,0.016664826266195525,0.017193941401649,0.026096878680800944,0.04459750441696113,0,0,0
B:GA,0.028517675017328447,0.13393717981457257,0.06390940218156045,0.07711029231659206,0.054893397470307116,0.04852486697484378,0.05031764479026063,0.0689072914983766,0.04513735075385265,0.04174983453286151,0.11459185641100474,0.012976792908104502,0.040994157837409645,0.039508862263590454,0.024994658147497666,0.026490376848150678,0.02284228245631407,0.019631959391497856,0.017990316915171382,0.023874172012862137,0.04309962945784106,0,0,0
N:AA,0.023476869174038108,0.07980621580119818,0.05876246296256245,0.0680407465882302,0.07390185349395506,0.06834353439885806,0.033057940610333715,0.07173908341804183,0.07275558535372105,0.06751086791963147,0.05822177044358414,0.03154400155719445,0.04481259597292212,0.049873477950559075,0.03350130847589593,0.022946990505439368,0.017053442048575815,0.04790535718147804,0.0348854813244804,0.014760905768107792,0.027099509051192766,0,0,0
N:AG,0.02208343915221758,0.09110428739639369,0.05229376861450373,0.06956341052339944,0.06907856763558284,0.06873225128714243,0.03229977143121003,0.07257636275483112,0.06859372474776626,0.06715073996259784,0.06450719183616928,0.028998222242744672,0.05560686168125043,0.04105003116847136,0.02541961997552698,0.02514256689677464,0.016138341837323666,0.04211206797035532,0.03704430540484381,0.013529425345739154,0.036975042135155727,0,0,0
N:CC,0.020591445214395602,0.09821041143443215,0.04692903446371514,0.0689142812060328,0.06828312579716243,0.06987416339035647,0.03610734901579203,0.07154409540965931,0.06494326175855676,0.060025509197775176,0.0675862250332014,0.026350738320337668,0.06487751640346609,0.03543674639386727,0.02391816018198314,0.025916818976739295,0.01520032609696125,0.04002577217919554,0.03577862224033872,0.013556692219694678,0.04592970506633706,0,0,0
N:GA,0.022287060628475932,0.0905043697432947,0.052519109065505054,0.06914879044409743,0.06727212953069779,0.06927207473767842,0.03220459713432509,0.0723267855675187,0.07002547875400673,0.06861455850524643,0.06266951590367387,0.029095093285115475,0.05334100435604504,0.041327634859318924,0.02582121037779787,0.024122626777348565,0.01636941453658804,0.04240979699186324,0.038670173419906306,0.013903728664968083,0.03809484671652832,0,0,0
Q:AC,0.0322709934275642,0.12623480610758334,0.06589384014857486,0.07799423938790716,0.061168581310261226,0.06072485848689405,0.04362918561848734,0.06602551128212542,0.05775291644888291,0.03920129891793908,0.0774877948421392,0.02771899778694632,0.03008574192902659,0.03554386628262586,0.03335928203645422,0.02735823667441421,0.02835689104880951,0.02727394045884721,0.02727838880795365,0.025296426863580253,0.029344202132983395,0,0,0
Q:AT,0.0398904322700517,0.12312427752706481,0.07336128925718277,0.07911761069796863,0.0635983731781951,0.05931023405190345,0.04611870168285999,0.061633427271734646,0.05884234681769002,0.03928718710887199,0.06967278574735172,0.029461555190389947,0.02545496055218815,0.0359312129062881,0.03486504363488372,0.02802946832308674,0.02663076974443521,0.028916965130895627,0.02830289133555862,0.022427454919042425,0.026023012652356625,0,0,0
Q:CA,0.032766382966332115,0.1283282954534197,0.06404992109206066,0.07889593128029596,0.06104760683942857,0.061023740827721315,0.0428971296843052,0.06687181430021401,0.05803673684675049,0.03898310376431548,0.07918922805310083,0.02730511900434001,0.03019725934129207,0.03510240020029438,0.0328759564792019,0.027100831948154016,0.02778589155464401,0.0268764313978248,0.026417273348689634,0.025410547936610673,0.028838397681004185,0,0,0
Q:CG,0.023155035360136928,0.12869982841498878,0.059043977706721616,0.07728222966845348,0.055298059769488525,0.061997964822943855,0.04331010052412196,0.07362487173701085,0.05503663744470322,0.03976429413843462,0.08172981534387254,0.025517203206894056,0.03649523777084247,0.03236357288531053,0.03252536520358157,0.0271555633140176,0.03154524437026598,0.026290400180526165,0.02693501483805866,0.02811354414588558,0.03411603915374102,0,0,0
Q:GC,0.028545829306517397,0.13109260650634563,0.058293213514080816,0.07920360644478447,0.05780072434476319,0.062183803781634454,0.041867883846726094,0.07231357912795298,0.05664997593181695,0.03885101683437753,0.08405655318400923,0.025837880575826644,0.0336617088929155,0.03316625292137307,0.03185529718828736,0.02669751152046389,0.028837688475382588,0.02572847974378696,0.02544811693354289,0.02725082013539002,0.03065745079002235,0,0,0
Q:TA,0.04106678155325341,0.11969104778553621,0.07602566076341641,0.07836415737144786,0.06365528064442436,0.05907140515897059,0.04739071703135708,0.061336028367385456,0.05829666564030235,0.039323617636249864,0.06757677867281162,0.030167661577886154,0.02462405268228727,0.03620106973648924,0.035575318586795655,0.02831834344798816,0.026836529961561002,0.029353191827491333,0.029341396914947505,0.022144017123729876,0.02564027751566861,0,0,0
T:AA,0.03905810569441299,0.12127880375569886,0.07436481167965499,0.0801750228590968,0.06408906548986935,0.059990947917085466,0.0470648601246194,0.061128628346713086,0.059076982113577765,0.038701038043826574,0.06799770234729188,0.030224562512514284,0.02476027305922586,0.035417369092112704,0.03538552359373265,0.028173314348108717,0.026880785182608058,0.02911554303142872,0.02859486913291475,0.022745647217957358,0.025776144457549752,0,0,0
T:AG,0.03221982454979204,0.13084421733178594,0.06262348322462986,0.08051974519287793,0.06081878511183034,0.061198531864323925,0.041780989333670596,0.06728037761047223,0.058601575211809566,0.03808738696882145,0.08065309888421951,0.027307035242726655,0.02955668252712781,0.03459430661650558,0.03207991785150493,0.027405330346909635,0.027764435127524793,0.02585685480568041,0.025842765840747513,0.025660919898009,0.029303736459030272,0,0,0
T:CC,0.02850200160958757,0.13193912320459103,0.0595343608410762,0.07798533289264821,0.05856838598087762,0.06241783470454582,0.04131311813868835,0.07033608662723227,0.05697584284733966,0.03936819982599855,0.08385565882672034,0.025961269113852384,0.032848332683668616,0.03412296004043237,0.03145143002814555,0.027038032805351064,0.02857314360159299,0.02540250805164316,0.025283197002550738,0.026915016444175027,0.03160816472928249,0,0,0
