 ,X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Y,MT,M
B:AA,0.0360042583392477,0.06601845280340667,0.07427963094393186,0.07087295954577714,0.062214336408800565,0.060120652945351315,0.05178140525195174,0.08286728176011356,0.07336408800567779,0.0633569907735983,0.04754435770049681,0.06631653655074521,0.02744499645138396,0.03769339957416608,0.03542938254080909,0.02107877927608233,0.03765791341376863,0.04156139105748758,0.018112136266855927,0.026281050390347765,0,0,0
B:AG,0.029104387590608516,0.05790172060226562,0.07885271249821799,0.06267751592845629,0.058521312877649716,0.06653763063527399,0.04585531149590411,0.08748313941374508,0.10148153834344055,0.06108741185888649,0.04487383346675586,0.07052385704416103,0.025452631348079263,0.02871508624943798,0.030497099430852406,0.021181282830165918,0.03551963504370045,0.04836109618484686,0.01641645373893781,0.028956343418614087,0,0,0
B:CC,0.026776454139663876,0.05450982414522201,0.08042104298099348,0.05834894767904927,0.05567875131074553,0.06961419673502599,0.044912015310653856,0.08988133097255886,0.11250350964651414,0.05770145370991124,0.04607521244105226,0.07275425598358919,0.024725101564872592,0.025321025217884586,0.02713744635254614,0.021648072702685667,0.032827371231785654,0.05241836132455492,0.015608615680814123,0.031137010869876632,0,0,0
B:GA,0.030480020637513972,0.060100144859473084,0.0766564581528102,0.06485603349627268,0.0576527473690477,0.06467082503753778,0.04699003181616738,0.08864870585589459,0.09694339897209306,0.06033827002070366,0.04505857217507491,0.0718013506988312,0.0260548613913124,0.029434915763224215,0.030923198020915327,0.021338660281384564,0.03440247121000655,0.04855768912760201,0.01662245917145673,0.028469185942677982,0,0,0
N:AA,0.064018948620949,0.06828463343174343,0.06230144921028703,0.02965212217819337,0.044245254425647994,0.04489633263361135,0.09744283421079218,0.089809503496739,0.03611238956927809,0.036089938596589696,0.03896927584387594,0.04319005870929358,0.0667299035730723,0.046922532918738706,0.06959801533401434,0.031947734135581426,0.02889440184996015,0.0523444428229853,0.019408865889114647,0.025818618591650484,0.003322743957881975,0,0
N:AG,0.053653852111148974,0.06456326218725153,0.05556416054851667,0.028737234492942184,0.04731369329739888,0.04690581663104199,0.09887653211899673,0.0806253420484702,0.036801833896099874,0.03229453858306744,0.03467467963611206,0.04556343772910794,0.08501388845863925,0.03890833617298101,0.07693380006815155,0.04061212477928193,0.02860815959852545,0.05832120029325816,0.01958840597668391,0.024214450192579742,0.002225251179744535,0,0
N:CC,0.04762774277975593,0.06370248638120454,0.054998630512188444,0.02956267689217566,0.04977631699077878,0.04922852186615539,0.09061748683770048,0.07898597035819714,0.039800359110137254,0.034176329164003774,0.036592714324842505,0.051151891414833076,0.08150582793146474,0.034644998326181564,0.06851091025289875,0.04713472716759488,0.029373991904805382,0.06463982470556012,0.019988435436257952,0.026799354819075444,0.001180802824188198,0,0
N:GA,0.055615422549359826,0.06571569469050793,0.05647994252768595,0.02946673728942546,0.046994575441544444,0.04635531771109203,0.09961461891107012,0.08388279057307933,0.035999342477762965,0.033667573803827025,0.034465123924677175,0.045758677162669785,0.08187978301766177,0.0391103967659647,0.07405648603069655,0.03811193707268665,0.027378495369947582,0.05897000359201963,0.01939081782372316,0.024565761355956967,0.002520501908640938,0,0
Q:AC,0.03595885635713068,0.06270347631114107,0.08508191033108077,0.04551438185411988,0.06113077670682015,0.06327678128149786,0.05074640626757786,0.08080982077864377,0.04839760122522595,0.05826406214458933,0.047216653693633946,0.07638292750158361,0.03449751678510606,0.03488794088470708,0.036299386609212225,0.03985531922482035,0.030604848126353227,0.048248109393114386,0.027028995913826685,0.03224053159902572,0.0008536970107894022,0,0
Q:AT,0.045820005530137466,0.06639973372824493,0.08713338540813327,0.049048828257494945,0.05781889632896463,0.060269374027316656,0.052994505963146435,0.07687208442941001,0.043580180844222695,0.059335915386516544,0.047013309223943985,0.06919376229057184,0.0351334314264938,0.03801632302984886,0.037606124885102864,0.03655047956288905,0.03160509264567092,0.04465328140663847,0.02815649257577062,0.03147695531418837,0.0013218377352936625,0,0
